title,rating,ratingLevel,ratingDescription
Finding Dory,PG,mild thematic elements,60
Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Sausage Party,R,"strong crude sexual content, pervasive language, and drug use",100
Pete's Dragon,PG,"for action, peril and brief language",60
Kevin Hart: What Now?,R,"some sexual material, and language throughout",100
Girlboss,TV-MA,,110
The Discovery,TV-MA,,110
Sand Castle,TV-MA,,110
Sandy Wexler,TV-14,,90
Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Cheer Squad,TV-PG,,70
Only for One Night,TV-MA,,110
The Life Aquatic with Steve Zissou,R,"language, some drug use, violence and partial nudity",100
Lucky Number Slevin,R,"strong violence, sexual content and adult language",100
The L Word,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Mad Men,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
It's Always Sunny in Philadelphia,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Californication,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Portlandia,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Friends with Benefits,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
5 to 7,R,some sexual material,100
Marvel's Iron Fist,TV-MA,,110
Chef's Table,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Documentary Now!,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Better Call Saul,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
