title,rating,ratingLevel,ratingDescription
Ernest & Celestine,PG,some scary moments,60
The Magic School Bus,TV-Y,Suitable for all ages.,10
Animaniacs,TV-Y7,Suitable for children ages 7 and older,41
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35
PopPixie,TV-G,Suitable for all ages.,35
Jack and the Cuckoo-Clock Heart,PG,"scary images, suggestive material, some language and smoking",60
The Pirate Fairy,G,General Audiences. Suitable for all ages.,35
Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60
The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41
The Boxcar Children,G,General Audiences. Suitable for all ages.,35
Pet Pals in Windland,TV-G,Suitable for all ages.,35
Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35
Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35
Alice Through the Looking Glass,PG,fantasy action/peril and some language,60
Quackerz,PG,"rude and suggestive humor, and some action",60
Hatched,TV-Y7,Suitable for children ages 7 and older,41
Blinky Bill: The Movie,PG,some rude humor,60
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41
Flubber,PG,slapstick action and mild language,60
Anastasia,G,General Audiences. Suitable for all ages.,35
An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35
An American Tail,G,General Audiences. Suitable for all ages.,35
Scooby-Doo,PG,"some rude humor, language and some scary action",60
FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,35
Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35
Balto,G,General Audiences. Suitable for all ages.,35
The Lizzie McGuire Movie,PG,mild thematic elements,60
The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35
The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35
Recess: Taking the Fifth Grade,G,General Audiences. Suitable for all ages.,35
An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35
An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35
The Iron Giant,PG,fantasy action and mild language,60
The Very Hungry Caterpillar and Other Stories,TV-Y,Suitable for all ages.,10
The Hero of Color City,G,General Audiences. Suitable for all ages.,35
Dino Squad,TV-Y7,Suitable for children ages 7 and older,41
The Little Engine That Could,G,General Audiences. Suitable for all ages.,35
Delhi Safari,PG,"violence and menacing action, rude humor, suggestive content and thematic elements",60
Ninja Turtles: The Next Mutation,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42
Pound Puppies,TV-Y,Suitable for all ages.,10
Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Monster Math Squad,TV-G,Suitable for all ages.,35
Care Bears: Welcome to Care-a-Lot,TV-Y,Suitable for all ages.,10
Clifford the Big Red Dog,TV-Y,Suitable for all ages.,10
Clifford's Puppy Days,TV-Y,Suitable for all ages.,10
Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60
Agent F.O.X.,PG,Parental guidance suggested. May not be suitable for children.,60
Dinosaur King,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42
Ribbit,PG,some peril,60
Chuggington,TV-Y,Suitable for all ages.,10
Rooster Doodle-doo,TV-G,Suitable for all ages.,35
Octonauts,TV-Y,Suitable for all ages.,10
Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42
My Animal Friends,TV-Y,Suitable for all ages.,10
Worms,PG,Parental guidance suggested. May not be suitable for children.,60
Puffin Rock,TV-Y,Suitable for all ages.,10
Little Einsteins,TV-Y,Suitable for all ages.,10
Hotel Transylvania 2,PG,"some scary images, action and rude humor",60
Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42
The Mr. Peabody and Sherman Show,TV-Y7,Suitable for children ages 7 and older,41
Zoobabu,TV-Y,Suitable for all ages.,10
Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35
Gon,TV-G,Suitable for all ages.,35
Sid the Science Kid: The Movie,TV-Y,Suitable for all ages.,10
The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35
The Secret Life of Pets,PG,for action and some rude humor,60
LEGO Jurassic World: The Indominus Escape,TV-Y7,Suitable for children ages 7 and older,41
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60
Anastasia,G,General Audiences. Suitable for all ages.,35
Antz,PG,moderate adult language and intense action,60
Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35
The Prince of Egypt,PG,intense scenes dealing with strong content,60
Paulie,PG,Parental guidance suggested. May not be suitable for children.,60
Tarzan,G,General Audiences. Suitable for all ages.,35
The Road to El Dorado,PG,mild thematic material and language,60
Fantasia 2000,G,General Audiences. Suitable for all ages.,35
Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35
Fantasia,G,General Audiences. Suitable for all ages.,35
An American Tail,G,General Audiences. Suitable for all ages.,35
Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35
FernGully 2: The Magical Rescue,G,General Audiences. Suitable for all ages.,35
Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35
Balto,G,General Audiences. Suitable for all ages.,35
Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35
The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35
The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35
An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35
An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35
The Last Unicorn,G,General Audiences. Suitable for all ages.,35
The Iron Giant,PG,fantasy action and mild language,60
Brother Bear 2,G,General Audiences. Suitable for all ages.,35
The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35
The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35
Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35
We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35
A Monster in Paris,PG,"some action violence involving gunplay, and mild rude humor",60
The Gruffalo,TV-Y,Suitable for all ages.,10
DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Ernest & Celestine,PG,some scary moments,60
The Magic School Bus,TV-Y,Suitable for all ages.,10
Animaniacs,TV-Y7,Suitable for children ages 7 and older,41
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35
PopPixie,TV-G,Suitable for all ages.,35
Jack and the Cuckoo-Clock Heart,PG,"scary images, suggestive material, some language and smoking",60
The Pirate Fairy,G,General Audiences. Suitable for all ages.,35
Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60
The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41
The Boxcar Children,G,General Audiences. Suitable for all ages.,35
Pet Pals in Windland,TV-G,Suitable for all ages.,35
Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35
Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35
Alice Through the Looking Glass,PG,fantasy action/peril and some language,60
Quackerz,PG,"rude and suggestive humor, and some action",60
Hatched,TV-Y7,Suitable for children ages 7 and older,41
Blinky Bill: The Movie,PG,some rude humor,60
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60
Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35
Anastasia,G,General Audiences. Suitable for all ages.,35
Antz,PG,moderate adult language and intense action,60
Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35
The Road to El Dorado,PG,mild thematic material and language,60
Fantasia 2000,G,General Audiences. Suitable for all ages.,35
Fantasia,G,General Audiences. Suitable for all ages.,35
Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60
Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35
Cats & Dogs,PG,animal action and humor,60
Atlantis: The Lost Empire,PG,action violence,60
FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,35
Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35
Balto,G,General Audiences. Suitable for all ages.,35
Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35
Tarzan & Jane,G,General Audiences. Suitable for all ages.,35
Atlantis: Milo's Return,G,General Audiences. Suitable for all ages.,35
The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35
The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35
Annie,PG,adult content and mld violence,60
Recess: Taking the Fifth Grade,G,General Audiences. Suitable for all ages.,35
An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35
Batched,G,General Audiences. Suitable for all ages.,35
An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35
Winnie the Pooh: Springtime with Roo,G,General Audiences. Suitable for all ages.,35
The Last Unicorn,G,General Audiences. Suitable for all ages.,35
The Iron Giant,PG,fantasy action and mild language,60
Mulan 2,G,General Audiences. Suitable for all ages.,35
Pooh's Heffalump Movie,G,General Audiences. Suitable for all ages.,35
Kronk's New Groove,G,General Audiences. Suitable for all ages.,35
Corpse Bride,PG,"some scary images and action, and brief mild language",60
Brother Bear 2,G,General Audiences. Suitable for all ages.,35
The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35
Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35
We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35
Ernest & Celestine,PG,some scary moments,60
Animaniacs,TV-Y7,Suitable for children ages 7 and older,41
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35
Disney Animation Collection: Vol. 2: Three Little Pigs,TV-G,Suitable for all ages.,35
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35
The Pirate Fairy,G,General Audiences. Suitable for all ages.,35
Underdogs,PG,Parental guidance suggested. May not be suitable for children.,60
The Boxcar Children,G,General Audiences. Suitable for all ages.,35
Ribbit,PG,some peril,60
Yellowbird,PG,Parental guidance suggested. May not be suitable for children.,60
Octonauts,TV-Y,Suitable for all ages.,10
The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35
Quackerz,PG,"rude and suggestive humor, and some action",60
Growing Up Wild,G,,35
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60
Mr. Magoo,PG,mild language and action sequences,60
Flubber,PG,slapstick action and mild language,60
Anastasia,G,General Audiences. Suitable for all ages.,35
Antz,PG,moderate adult language and intense action,60
Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35
Paulie,PG,Parental guidance suggested. May not be suitable for children.,60
The Road to El Dorado,PG,mild thematic material and language,60
Air Bud: World Pup,G,General Audiences. Suitable for all ages.,35
An American Tail,G,General Audiences. Suitable for all ages.,35
Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60
Cats & Dogs,PG,animal action and humor,60
Baby's Day Out,PG,mild language and comic action,60
Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35
Balto,G,General Audiences. Suitable for all ages.,35
Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35
Blank Check,PG,Parental guidance suggested. May not be suitable for children.,60
Heavyweights,PG,some rude language and pranks,60
Inspector Gadget 2,G,General Audiences. Suitable for all ages.,35
Air Bud: Spikes Back,G,General Audiences. Suitable for all ages.,35
Annie,PG,adult content and mld violence,60
An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35
D2: The Mighty Ducks,PG,some mild language and rough hockey action,60
"Honey, I Shrunk the Kids",PG,Parental guidance suggested. May not be suitable for children.,60
The Iron Giant,PG,fantasy action and mild language,60
The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35
Air Buddies,PG,"some mild, rude humor",60
Dr. Dolittle: Tail to the Chief,PG,brief mild language and some rude behavior,60
Flicka 2,PG,some reckless behavior,60
H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
The Gruffalo,TV-Y,Suitable for all ages.,10
Dolphin Tale,PG,some mild thematic elements,60
Pound Puppies,TV-Y,Suitable for all ages.,10
Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35
The Magic School Bus,TV-Y,Suitable for all ages.,10
Step Dogs,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
PokÌ©mon: Indigo League,TV-Y,Suitable for all ages.,10
Mia and Me,TV-Y,Suitable for all ages.,10
Paddington,PG,mild action and rude humor,60
Russell Madness,PG,some rude humor and sports action,60
My Animal Friends,TV-Y,Suitable for all ages.,10
Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41
Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35
Wiener Dog Internationals,G,General Audiences. Suitable for all ages.,35
Pup Star,G,General Audiences. Suitable for all ages.,35
The BFG,PG,"for action/peril, some scary moments and brief rude humor",60
The Secret Life of Pets,PG,for action and some rude humor,60
Precious Puppies,TV-G,Suitable for all ages.,35
Beary Tales,TV-G,Suitable for all ages.,35
